标题,链接,作者,出发日期,天数,照片数,人数,玩法,费用,阅读数,点赞数,评论数
带妈妈姥姥看北京啦~,https://travel.qunar.com/youji/6626356,-鸢土社-,2016-11-01 出发,共5天,35张照片,家庭,人文,人均1200元,4938,10,1
北京游记之北京结,https://travel.qunar.com/youji/5951640,崇文的金玉良...,2015-06-12 出发,共1天,148张照片,,,,3454,5,0
时尚而且具有生命力的艺术区,https://travel.qunar.com/youji/6600603,Joey幺蛾子,2015-10-18 出发,共1天,91张照片,独自一人,,人均20元,2359,1,0
北京1日游,https://travel.qunar.com/youji/6444507,fuif4654,2016-05-15 出发,共1天,6张照片,情侣,短途周末,人均50元,2322,8,1
紫禁城里过大年,https://travel.qunar.com/youji/7452193,jusang,2019-02-01 出发,共6天,27张照片,独自一人,跨年 穷游 春节 第一次,人均2000元,1614,3,0
首都博物馆-五色炫曜—南昌汉代海昏侯,https://travel.qunar.com/youji/6412577,ngxx0021,2016-05-21 出发,共1天,36张照片,家庭,短途周末,,4447,5,0
陡峭的水关长城,https://travel.qunar.com/youji/6097561,97烟雨江南,2015-10-31 出发,共1天,101张照片,家庭,购物 美食 短途周末,人均77元,3884,1,4
#东南DX3夜猫行动#一路向北，做两千万假装生活在北京的人,https://travel.qunar.com/youji/6978605,被遗忘的时光...,2018-01-16 出发,共2天,124张照片,,,人均1500元,3256,17,1
填充智慧，游走孔庙和国子监,https://travel.qunar.com/youji/6055461,我没在这儿,2015-04-12 出发,共1天,176张照片,,短途周末,,1793,2,0
北京不留遗憾五天游,https://travel.qunar.com/youji/5137739,mnrl0672,2015-01-26 出发,共5天,99张照片,三五好友,美食,人均3499元,4.2万,212,7
走通房山之行（2）-自黄山店到上方山的圣水峪,https://travel.qunar.com/youji/6808021,lauyuu,2015-05-30 出发,共1天,72张照片,三五好友,,人均23元,3760,0,0
又见帝都(春季篇),https://travel.qunar.com/youji/6325390,feifeifeifei...,2016-04-06 出发,共6天,94张照片,独自一人,短途周末 踏春,人均5000元,3057,2,0
探访京城边郊，逍遥走十渡,https://travel.qunar.com/youji/6039143,chronosddm,2015-11-08 出发,共1天,235张照片,,短途周末,,4544,4,13
#春之女神#这里不仅有丁香花还有诗和远方,https://travel.qunar.com/youji/6352903,elysee520,2016-04-10 出发,共1天,53张照片,独自一人,美食 短途周末,人均5元,2152,3,3
"2016年2月,北京",https://travel.qunar.com/youji/6232825,aiko_tsang,2016-02-06 出发,共5天,76张照片,三五好友,,人均2900元,2.9万,17,0
北京6日游,https://travel.qunar.com/youji/6883117,carino的,2017-08-01 出发,共6天,56张照片,,,,5181,4,0
北京观景之旅,https://travel.qunar.com/youji/5497567,pyx0819,2015-05-13 出发,共6天,47张照片,家庭,购物 美食,人均3000元,2383,4,1
终于去了趟帝都 大北京,https://travel.qunar.com/youji/6766176,nico靖,2017-01-28 出发,共5天,26张照片,闺蜜,,人均4000元,3864,18,0
妈妈的圆梦北京5日游,https://travel.qunar.com/youji/6704128,zt59921661,2016-09-09 出发,共1天,78张照片,家庭,,,3151,6,0
说走就走畅游北京动物园精彩一刻,https://travel.qunar.com/youji/6357807,Lucky_shuai,2016-04-20 出发,共0天,80张照片,亲子,漫游 短途周末,,3155,8,0
旧地重游圆明园赏荷花,https://travel.qunar.com/youji/5933611,梁lsh,2014-08-24 出发,共1天,113张照片,独自一人,短途周末,人均23元,2531,1,0
2016，相约油菜花，邂逅虞美人,https://travel.qunar.com/youji/6743812,梁lsh,2016-05-07 出发,共1天,108张照片,家庭,,,2391,1,0
盛夏，来逛人少的北京,https://travel.qunar.com/youji/6699346,菌菇凉,2016-08-10 出发,共10天,131张照片,三五好友,美食 夏季 摄影 人文,,2133,2,0
情侣出游：北京3日精品自由行,https://travel.qunar.com/youji/5515751,小白爱变棉花...,2015-05-12 出发,共3天,46张照片,情侣,购物 美食,人均2300元,6.6万,438,14
北京古北水镇亲子游,https://travel.qunar.com/youji/5499014,wqiq3252,2015-05-06 出发,共2天,75张照片,亲子,自驾,人均750元,1.5万,58,5
妹纸一个人的帝都之行,https://travel.qunar.com/youji/6786946,enwo4364,2017-04-01 出发,共5天,130张照片,独自一人,,人均4000元,5108,18,2
周末半日徒走，地坛公园-五道营胡同-国子,https://travel.qunar.com/youji/5791300,爱旅行的达令...,2015-08-08 出发,共1天,61张照片,三五好友,美食 短途周末,人均150元,2706,2,0
我和美丫玩转帝都,https://travel.qunar.com/youji/6413358,韩姗杉,2014-06-05 出发,共6天,110张照片,亲子,美食,人均1600元,1.2万,45,1
北京地铁一号线周边有这么多可以逛得地方你可知道,https://travel.qunar.com/youji/7013421,夏嘻嘻,2018-03-27 出发,共2天,31张照片,三五好友,深度游 穷游 短途周末 踏春 人文,人均200元,5165,3,0
慢游北京,https://travel.qunar.com/youji/7445940,zhoubaobao20...,2019-01-06 出发,共13天,185张照片,亲子,漫游 美食 摄影 冬季 人文,人均2000元,2691,10,0
有雾霾的前门大街半日游,https://travel.qunar.com/youji/6597298,虾米lhx,2016-10-14 出发,共1天,221张照片,闺蜜,美食 古镇 摄影 人文,人均100元,2878,1,0
盛夏北上,https://travel.qunar.com/youji/5763112,慕斯法派66,2015-07-14 出发,共5天,159张照片,闺蜜,购物 美食 毕业游 夏季,人均3000元,2675,6,0
东北到西南，五环加五环之帝都一日游,https://travel.qunar.com/youji/6591986,绿日光,2016-08-02 出发,共1天,53张照片,独自一人,,人均500元,2588,0,0
单骑独马闯帝都,https://travel.qunar.com/youji/6352280,mnrk1612,2016-04-15 出发,共3天,148张照片,独自一人,短途周末,人均900元,3894,2,0
100小时环游北京，暴走攻略--最效率路线！,https://travel.qunar.com/youji/7411396,吴此人z,2018-10-18 出发,共5天,100张照片,独自一人,蜜月 购物 美食 海滨海岛 古镇 自驾 骑行 游轮 毕业游 短途周末 摄影 徒步 探险 人文 第一次 环游 深度游 穷游 漫游 温泉 滑雪 婚纱 潜水 赏枫 赏樱 夏季 踏春 冬季 赏秋 春节 国庆 万圣节 清明 跨年 圣诞 中秋节 寒假 端午 五一 暑假,人均2000元,5904,37,0
北京那些真正有趣的地方,https://travel.qunar.com/youji/6588630,fkfl9218,2016-10-06 出发,共1天,27张照片,情侣,蜜月 美食 摄影,人均1000元,1.1万,17,0
北京周边自由行系列之延庆百里画廊,https://travel.qunar.com/youji/5896651,jckf2386,2015-09-03 出发,共2天,60张照片,家庭,自驾,人均100元,1.2万,24,8
京郊旅行  探秘美式风情小镇,https://travel.qunar.com/youji/7095653,左左xians,2018-08-15 出发,共1天,96张照片,三五好友,美食 暑假 短途周末 探险,人均2500元,4.6万,26,1
红墙黄瓦，浪迹天涯。,https://travel.qunar.com/youji/6808646,杰斯先森1,2016-10-17 出发,共1天,105张照片,独自一人,,人均30元,3369,1,0
带着老爸游北京,https://travel.qunar.com/youji/6986898,冷花无魂,2017-09-29 出发,共7天,77张照片,家庭,美食 国庆,人均3500元,1703,3,0
寻梦红楼，不肯醒（一日游）,https://travel.qunar.com/youji/5692893,冰瓷,2015-08-14 出发,共1天,110张照片,独自一人,自驾,人均36元,4941,15,2
从新疆到北京，双飞5日游,https://travel.qunar.com/youji/2663885,mw_1218,2013-03-04 出发,共6天,64张照片,,美食,,8679,12,5
家族齐动员，春节假期游北京,https://travel.qunar.com/youji/6263408,tvqf4318,2015-02-18 出发,共6天,70张照片,,美食 春节,,4929,16,0
北京<最科技><最有趣><最时尚><最不容错过>的【老牛儿童探索馆】,https://travel.qunar.com/youji/6684921,sghssesse,2016-12-26 出发,共1天,31张照片,亲子,短途周末 探险,,7361,14,1
中华民族园——花一天去漫游中国,https://travel.qunar.com/youji/6098934,suoyimeng,2015-12-06 出发,共1天,44张照片,独自一人,购物 美食 漫游,人均45元,5340,4,0
第九篇～感受历史～闲逛北京,https://travel.qunar.com/youji/7078184,小小爽1,2018-08-23 出发,共4天,110张照片,,,,2261,10,0
毕业之前，一定要来一次北京,https://travel.qunar.com/youji/6550817,小卢澄子,2016-04-18 出发,共3天,119张照片,三五好友,毕业游,人均400元,3039,5,0
4+1山西，北京游,https://travel.qunar.com/youji/6243024,温柔柳叶刀,2016-02-10 出发,共5天,73张照片,家庭,,人均1876元,4001,2,0
北京【海淀】圆明园夏日赏荷,https://travel.qunar.com/youji/7603485,步青,2020-07-12 出发,共1天,123张照片,独自一人,短途周末 夏季 徒步,人均20元,3192,10,2
【我与JIA人有约】薄纱下的彩色水墨画,https://travel.qunar.com/youji/6599895,娜黛,2016-10-15 出发,共1天,33张照片,家庭,自驾 摄影,人均64元,3287,6,0
拥挤在帝都人潮间，与闺蜜的春节北京五日游,https://travel.qunar.com/youji/7074873,芋艿姑娘,2018-02-17 出发,共5天,146张照片,闺蜜,穷游 美食 春节 人文,人均2000元,5365,11,2
2014盛夏，紫谷伊甸园—离我们最近的薰衣草庄园,https://travel.qunar.com/youji/6747494,梁lsh,2014-07-12 出发,共1天,121张照片,,夏季,,3441,1,0
一切只为更好的出发！芳香之境，邂逅麗枫,https://travel.qunar.com/youji/6609922,满星Min,2016-10-23 出发,共1天,138张照片,独自一人,购物 美食 自驾 短途周末 摄影 徒步,人均500元,4754,2,0
2015春节北京亲子游,https://travel.qunar.com/youji/5298815,wangzihanyan...,2015-02-19 出发,共8天,67张照片,亲子,春节,人均2500元,2.2万,80,9
乐踏歌声首都行,https://travel.qunar.com/youji/6756935,zvwd8276,2016-10-03 出发,共4天,58张照片,家庭,漫游 摄影 徒步 人文,人均500元,1214,0,0
相亲会-北京八大处香植恋第二季-同心结穿越，追得上才可以得到，追不上就歇菜！,https://travel.qunar.com/youji/6805857,lauyuu,2016-03-06 出发,共1天,90张照片,三五好友,,人均20元,3478,3,0
青山不老 却为君白头——盛夏北京两日游,https://travel.qunar.com/youji/4074079,珏十四,2014-06-15 出发,共2天,49张照片,,美食 夏季,,6151,9,2
北京三十年极寒的周六户外冷风中穿越张坊-奥水尖-南天门-一渡,https://travel.qunar.com/youji/6806603,lauyuu,2016-01-23 出发,共1天,263张照片,三五好友,,人均69元,2032,2,0
宁静小镇-古北水镇,https://travel.qunar.com/youji/6590844,柠_檬_不酸,2016-10-05 出发,共2天,116张照片,,古镇 自驾,人均300元,2818,4,1
颐和园的春夏秋冬,https://travel.qunar.com/youji/5521429,rosevivi520,2015-05-19 出发,共1天,103张照片,,夏季 踏春 冬季 赏秋,,3702,10,1
背着飞机走长城：龙泉峪闲游,https://travel.qunar.com/youji/6634278,锦衣卫指挥史,2016-07-09 出发,共1天,78张照片,家庭,,人均30元,3259,0,0
一个人两天三夜暴走北京,https://travel.qunar.com/youji/6817332,会飞的鱼flyi...,2015-12-25 出发,共2天,119张照片,独自一人,美食 短途周末 人文,,6493,10,2
春节北京行,https://travel.qunar.com/youji/6994877,afnd1454,2018-02-15 出发,共6天,142张照片,,冬季 春节,,2787,8,0
两个逗比游北京,https://travel.qunar.com/youji/6834702,傲气小女人88,2017-06-07 出发,共3天,96张照片,闺蜜,徒步,人均1300元,1.5万,36,5
白岭关、被遗忘的铁岭雄关,https://travel.qunar.com/youji/6662195,大明锦衣卫,2016-10-22 出发,共1天,101张照片,家庭,,人均30元,3174,0,0
水雾濛濛，仿佛置身仙境--北京植物园游记,https://travel.qunar.com/youji/5915292,梁lsh,2015-08-02 出发,共1天,105张照片,家庭,短途周末,人均20元,3410,3,1
吃货带你吃北京系列——回不去的王府井,https://travel.qunar.com/youji/6562799,娜黛,2016-09-12 出发,共1天,32张照片,家庭,购物 美食 自驾 人文,人均36元,4639,9,5
2016年中秋，未见满月的卢沟晓月,https://travel.qunar.com/youji/6740506,梁lsh,2016-09-16 出发,共1天,89张照片,独自一人,中秋节,人均20元,2762,1,1
父母一辈的信仰-北京,https://travel.qunar.com/youji/6324881,susuxiaojie,2015-11-19 出发,共6天,56张照片,家庭,美食,人均2700元,3118,11,2
带着歪果仁逛京城,https://travel.qunar.com/youji/5578551,littlesisy,2015-06-02 出发,共6天,14张照片,闺蜜,美食 古镇,人均7000元,3252,4,0
一座城，两三天，四五人,https://travel.qunar.com/youji/6524845,慕慕容,2013-01-01 出发,共3天,115张照片,,,,3439,12,0
2016年，三九天，颐和园冬韵,https://travel.qunar.com/youji/6744220,梁lsh,2016-01-17 出发,共1天,102张照片,,,,3351,1,0
什刹海希望多年后还是我喜欢的模样,https://travel.qunar.com/youji/6909502,qlz1111,2016-10-01 出发,共1天,77张照片,,,,2523,2,0
2017情人节  我和野兽有个约会|八达岭野生动物园一日游,https://travel.qunar.com/youji/6738811,sghssesse,2017-02-14 出发,共1天,15张照片,,短途周末,,4213,7,0
一个南方人眼中的北京,https://travel.qunar.com/youji/6784646,小小花落,2017-01-30 出发,共6天,107张照片,情侣,,人均2000元,4175,4,0
秋风吹起了我的旅行---走进北京金海湖,https://travel.qunar.com/youji/6647960,雁行江湖,2016-09-10 出发,共1天,60张照片,三五好友,美食 短途周末 摄影 赏秋,,5400,4,0
吃货新婚女的独自北京行    7日,https://travel.qunar.com/youji/3999070,dsdh7081,2014-07-12 出发,共7天,74张照片,,购物 美食,,1.1万,23,5
最长高空玻璃栈道——平谷天云山,https://travel.qunar.com/youji/6035825,申申1,2015-06-20 出发,共1天,72张照片,,短途周末,,7.3万,246,3
北京的蓝天,https://travel.qunar.com/youji/7556921,kloc2595,2019-12-10 出发,共6天,234张照片,,,人均5000元,1724,7,0
各大高校纷纷亮绝活、当网红！这一次你绝对想不到！,https://travel.qunar.com/youji/7060646,Qunar攻略小...,2018-07-05 出发,共3天,41张照片,,,,5244,2,0
北京北京 帝都,https://travel.qunar.com/youji/5596382,hlwz3549,2015-05-29 出发,共2天,130张照片,,短途周末,,4338,9,5
#春天去哪儿玩#京城11座最美古塔，看一看你去过哪几个？,https://travel.qunar.com/youji/6993828,羊驼驼哇,2018-02-14 出发,共1天,34张照片,,踏春,,3272,2,0
大连北京三日游，带着妈妈去旅行,https://travel.qunar.com/youji/6479078,shineeveryda...,2016-05-28 出发,共4天,40张照片,,,人均2000元,2950,7,0
北京3日游,https://travel.qunar.com/youji/6895953,mzfy6608,2017-08-19 出发,共3天,34张照片,家庭,徒步,,3422,16,1
香蕉采摘，河边垂钓，好幸福的周末~,https://travel.qunar.com/youji/4686424,阿滋楠,2012-08-28 出发,共1天,46张照片,独自一人,短途周末,,8511,21,3
春节北京七日,https://travel.qunar.com/youji/6235859,oabe8819,2016-02-08 出发,共7天,29张照片,三五好友,美食 古镇 春节,人均3500元,3961,4,0
边走边看风景，保持健康的生活状态,https://travel.qunar.com/youji/5915130,梁lsh,2015-09-12 出发,共1天,112张照片,三五好友,短途周末,人均10元,1904,1,0
美景天门山,https://travel.qunar.com/youji/6035869,申申1,2015-06-13 出发,共1天,46张照片,,短途周末,,3644,5,0
2015帝都亲子游,https://travel.qunar.com/youji/5253173,CONFI,2015-02-18 出发,共11天,137张照片,家庭,自驾,人均5000元,1.5万,7,2
国庆假期七天乐就是吃吃吃约约约耍耍耍,https://travel.qunar.com/youji/5960840,麦兜妈麦太,2015-10-01 出发,共8天,122张照片,家庭,美食 国庆,,2864,1,0
"[我与""JIA""人有约】泛舟夜游古北水镇",https://travel.qunar.com/youji/6565057,衣鱼911,2016-09-10 出发,共2天,192张照片,情侣,美食 短途周末 摄影,人均700元,6202,14,0
周末奔北京,https://travel.qunar.com/youji/7028420,唐小北King,2018-04-20 出发,共3天,112张照片,三五好友,美食 短途周末 摄影,人均785元,2213,4,2
【塞班SAIPAN】——大白摄影游记,https://travel.qunar.com/youji/5284252,比慕小仙儿,2015-02-28 出发,共6天,94张照片,家庭,环游 海滨海岛 摄影 探险,人均10000元,2977,4,2
北京深度冬季悠闲游（美食、游玩）,https://travel.qunar.com/youji/5232643,mgbv5117,2015-02-20 出发,共7天,78张照片,家庭,深度游 购物 美食 温泉 冬季,人均4000元,1.2万,32,2
金秋相约北京和围场,https://travel.qunar.com/youji/6602558,tkrc3098,2016-10-01 出发,共1天,77张照片,三五好友,美食 自驾 赏秋,,3245,4,0
2015年新年的北京之行,https://travel.qunar.com/youji/5049968,happyblue,2014-12-31 出发,共11天,142张照片,情侣,跨年,,6204,16,2
参观中国美术馆&国际金融博物馆,https://travel.qunar.com/youji/5165435,帝都楚人,2013-02-16 出发,共1天,68张照片,,短途周末,,2995,2,0
北京两日游,https://travel.qunar.com/youji/5281203,moani,2014-12-07 出发,共2天,85张照片,独自一人,,人均2000元,5743,14,1
音乐美食没艳遇的糙汉子北京几天,https://travel.qunar.com/youji/5857239,闲不住的呆,2015-08-06 出发,共3天,55张照片,三五好友,美食,人均1000元,2707,3,0
游故宫？拒绝走马观花！带你解锁故宫的正确打开方式,https://travel.qunar.com/youji/7501961,Mia黄小米,2019-07-12 出发,共1天,60张照片,闺蜜,深度游 暑假 短途周末 第一次,人均10元,1.3万,74,4
【北京土著玩法】北京慕田峪长城旅游最新全攻略！慕田峪长城怎么去？怎么玩？,https://travel.qunar.com/youji/7544481,ohpa6990,2019-11-01 出发,共1天,65张照片,家庭,深度游 美食 短途周末 徒步 赏秋,人均79元,3.1万,21,9
两日嗨逛北京,https://travel.qunar.com/youji/6273878,Midou0,2016-01-16 出发,共3天,197张照片,独自一人,美食 短途周末,人均300元,8065,15,3
有一个地方，不用去上海在北京就可以玩到【北京坊巧虎岛】,https://travel.qunar.com/youji/6807903,sghssesse,2017-04-09 出发,共1天,27张照片,亲子,短途周末,,6473,10,0
陪老爸走走之北京,https://travel.qunar.com/youji/6802162,雨过天晴Rene...,2015-06-15 出发,共6天,89张照片,家庭,,人均2000元,4017,10,0
古北水镇,https://travel.qunar.com/youji/6545224,Maggie-shush...,2016-07-11 出发,共2天,246张照片,家庭,自驾,人均200元,5760,14,0
【诺金】京城最有诚意的文化艺术奢华酒店,https://travel.qunar.com/youji/5726812,阿滋楠,2015-07-27 出发,共1天,88张照片,情侣,短途周末,人均5000元,6.5万,22,0
自驾京郊小西藏 寻找北京唯一梯田,https://travel.qunar.com/youji/7028579,旅行密探李大...,2018-04-13 出发,共3天,145张照片,三五好友,美食 自驾 短途周末 踏春,人均800元,2万,86,10
新春京城3日行,https://travel.qunar.com/youji/2988927,圆点点8716,2014-02-22 出发,共4天,48张照片,,美食,,8180,26,7
2016年，那冰、那雪、那亭。,https://travel.qunar.com/youji/6745862,梁lsh,2016-01-07 出发,共1天,75张照片,,,,1708,0,0
把许久未逛的地方走一走,https://travel.qunar.com/youji/5933309,梁lsh,2014-10-01 出发,共1天,101张照片,家庭,短途周末,人均100元,2383,0,0
我的北京五天四夜自由行，北京自由行，北京自助游,https://travel.qunar.com/youji/7631972,equu1175,2018-10-09 出发,共5天,9张照片,家庭,,人均3500元,758,3,0
北京，我喜欢的样子你都有——文艺清新篇,https://travel.qunar.com/youji/7074844,Twinkle学姐,2018-08-01 出发,共8天,80张照片,情侣,夏季 短途周末 摄影,人均500元,5728,13,2
房山之游，消夏旅行,https://travel.qunar.com/youji/5959678,theresa0912,2015-08-08 出发,共2天,83张照片,,,,2471,2,0
北京慢行 | 各种美食吃不停,https://travel.qunar.com/youji/7409234,帽帽moer,2018-09-18 出发,共5天,176张照片,三五好友,购物 美食 漫游 摄影 人文,人均2000元,1743,2,1
北京云居寺徒步冰天雪地，赛过东北雪景，美哒哒！,https://travel.qunar.com/youji/6806773,lauyuu,2015-11-28 出发,共1天,139张照片,三五好友,徒步,,3061,0,0
被风吹傻的北京之旅,https://travel.qunar.com/youji/6998490,zoe牛牛,2018-02-21 出发,共3天,53张照片,独自一人,,人均1700元,2221,6,1
原来油菜花也可以这样美--紫谷伊甸园游记,https://travel.qunar.com/youji/5917868,梁lsh,2015-05-02 出发,共1天,119张照片,家庭,短途周末,人均50元,3583,4,0
【自由行】中国的神圣之都——北京,https://travel.qunar.com/youji/6601275,安娜奇奇,2014-09-12 出发,共1天,193张照片,三五好友,美食 短途周末,人均2000元,3564,0,0
秋炫颐和园,https://travel.qunar.com/youji/6814690,zhizhimiao,2016-11-23 出发,共1天,119张照片,情侣,美食,,4219,4,0
北京北京呢,https://travel.qunar.com/youji/6284976,西瓜味橙子,2016-02-24 出发,共5天,95张照片,,,人均3000元,5446,8,3
北京2日游,https://travel.qunar.com/youji/6943334,放飞自我女神...,2017-11-09 出发,共2天,87张照片,家庭,美食 古镇 摄影 徒步,人均1000元,6397,35,4
房山周末游,https://travel.qunar.com/youji/5542661,薇那verna,2015-05-09 出发,共1天,55张照片,三五好友,美食 短途周末,人均900元,4205,11,0
好基友游北京登泰山,https://travel.qunar.com/youji/5248547,黑灯瞎火走一...,2015-02-25 出发,共6天,83张照片,三五好友,购物 美食,人均3200元,3132,2,5
司马台长城脚下的婉约 记古北水镇一日游,https://travel.qunar.com/youji/6652206,猫眼圣骑,2015-07-04 出发,共1天,71张照片,情侣,古镇,人均350元,3319,1,0
北京看球酒吧图鉴：世界杯怎么能窝家里看？！（内附战况+赛程表）,https://travel.qunar.com/youji/7055428,爱吃拉面的高...,2018-06-25 出发,共1天,49张照片,三五好友,美食 暑假 夏季 短途周末,,6582,7,1
樱花烂漫的八达岭长城,https://travel.qunar.com/youji/5386542,Linda小树林,2015-04-04 出发,共1天,36张照片,情侣,购物 赏樱 短途周末,人均1000元,9733,33,7
行之力量,https://travel.qunar.com/youji/5404459,野哒哒,2015-04-04 出发,共4天,39张照片,独自一人,短途周末,人均900元,7763,44,72
初秋，陶然亭公园深度游,https://travel.qunar.com/youji/6054194,梁lsh,2015-09-20 出发,共1天,85张照片,,深度游 短途周末 赏秋,,2166,0,0
自助和团游哪个好？谁游谁知道！,https://travel.qunar.com/youji/5997407,zrq229,2015-10-28 出发,共0天,没有照片,家庭,短途周末,人均870元,1170,1,0
【原创】鸟巢场内旅游路径推荐,https://travel.qunar.com/youji/6522531,姝离,2016-08-01 出发,共1天,18张照片,独自一人,人文,人均100元,3707,6,1
2016，北京，荷趣荷丛,https://travel.qunar.com/youji/6743507,梁lsh,2016-06-23 出发,共1天,84张照片,,,,2601,1,0
冬季北京之旅,https://travel.qunar.com/youji/6049817,prun0267,2015-11-10 出发,共7天,89张照片,家庭,购物 美食 冬季,,9053,19,1
2016，紫竹院里不见竹，归时邂逅火烧云,https://travel.qunar.com/youji/6743522,梁lsh,2016-06-11 出发,共1天,70张照片,,,,2045,0,0
北京博物馆游之观复-清华大学艺术博物馆,https://travel.qunar.com/youji/6738942,熙lrx,2016-10-05 出发,共1天,65张照片,,,,3767,3,0
跨着年儿去北京，暖在冬日里的京城味道,https://travel.qunar.com/youji/7440155,尛_侽生,2018-12-30 出发,共3天,138张照片,亲子,跨年 短途周末 冬季,人均1000元,5243,23,0
北京7日游,https://travel.qunar.com/youji/7506122,小雨20110321,2019-07-20 出发,共8天,2张照片,,,,1194,0,2
暴走三天的北京闺蜜之旅,https://travel.qunar.com/youji/6652863,mmmmmavis,2016-11-30 出发,共3天,19张照片,闺蜜,,人均2500元,4688,7,0
糟粕精华并存密-云冶仙塔，云龙涧,https://travel.qunar.com/youji/6546132,chronosddm,2016-06-03 出发,共2天,196张照片,,,,2050,0,0
在历史与现代中行走，北京,https://travel.qunar.com/youji/6271595,kfbr9132,2014-04-09 出发,共4天,93张照片,,美食,,4139,1,1
心有猛虎，细嗅蔷薇,https://travel.qunar.com/youji/4672727,梁九GLORY,2014-10-01 出发,共1天,70张照片,三五好友,,人均100元,2483,5,2
老北京的胡同文化,https://travel.qunar.com/youji/4690540,阿滋楠,2012-01-20 出发,共1天,47张照片,三五好友,,,1.3万,91,3
寻找紫禁城沉淀600年的记忆,https://travel.qunar.com/youji/7549580,秀才说,2019-11-16 出发,共1天,10张照片,三五好友,深度游 短途周末 摄影 冬季 赏秋,人均108元,1121,35,17
帝都，안녕하세요,https://travel.qunar.com/youji/5482414,reyt7983,2015-04-25 出发,共7天,131张照片,家庭,自驾,人均3000元,3704,4,1
2016暑假北京亲子5日游,https://travel.qunar.com/youji/6507159,宝贝迷你熊,2016-07-26 出发,共5天,没有照片,亲子,暑假 徒步,,8.4万,959,15
北京，不忘初心，继续前进,https://travel.qunar.com/youji/6945782,lessboring7,2016-12-28 出发,共1天,50张照片,,,,1767,0,2
北京，北京...,https://travel.qunar.com/youji/6038756,错位梦寐,2015-02-15 出发,共7天,94张照片,三五好友,美食 古镇,人均4000元,2570,13,0
爱上五彩斑斓的秋天——北京赏秋全攻略,https://travel.qunar.com/youji/5521500,rosevivi520,2012-11-30 出发,共1天,98张照片,,赏秋,,3942,6,1
亲子北京四日游,https://travel.qunar.com/youji/7466769,深蓝骆驼,2019-04-02 出发,共4天,36张照片,亲子,清明 漫游 第一次,人均700元,5211,42,7
北京朝阳大悦城，超大购物生活休闲中心,https://travel.qunar.com/youji/7557159,JINGO敬国,2019-12-19 出发,共1天,179张照片,独自一人,购物 摄影,人均100元,1364,7,1
户外徒步天堂——海坨山,https://travel.qunar.com/youji/6253470,L路路在路上,2015-06-27 出发,共2天,104张照片,,徒步,,6075,5,0
说走就走的巴厘岛自由行,https://travel.qunar.com/youji/6335657,西西里防御H2,2015-10-24 出发,共6天,68张照片,,美食,,2236,1,0
雾霾中的箭扣长城,https://travel.qunar.com/youji/6594736,四海翁,2013-09-30 出发,共1天,50张照片,三五好友,自驾 摄影,人均1000元,4810,1,0
#北京四月去哪儿玩# 盘点京郊特色农场采摘园！周末带上宝贝体验农场亲子游~~,https://travel.qunar.com/youji/7009591,JX小星星,2018-03-20 出发,共1天,59张照片,亲子,美食 短途周末 踏春 摄影,人均100元,7280,6,0
五天四夜美食休闲亲子游帝都,https://travel.qunar.com/youji/5807407,铁甲万能侠,2015-08-14 出发,共5天,63张照片,亲子,美食,人均4000元,6327,20,4
北京   独自触碰世界的第一站,https://travel.qunar.com/youji/3903570,罗胖胖子,2013-12-12 出发,共3天,140张照片,,,,1810,7,1
搜寻暴马丁香,https://travel.qunar.com/youji/6056086,申申1,2015-05-30 出发,共1天,43张照片,,短途周末,,2695,1,0
第一次尝试露营 at 【海坨山】,https://travel.qunar.com/youji/6696040,Borje,2016-08-20 出发,共2天,50张照片,,第一次,,3969,11,4
乐游房山｜访古溯源，京郊周边亦休闲,https://travel.qunar.com/youji/7498402,背包客的笔记,2019-06-20 出发,共2天,88张照片,三五好友,短途周末 夏季,人均1500元,1204,1,0
游北京，这样更好玩,https://travel.qunar.com/youji/5620246,二两包子,2015-06-14 出发,共7天,48张照片,情侣,购物 美食 毕业游,人均3000元,5204,16,2
北京春节7天乐,https://travel.qunar.com/youji/6996363,邓小刀,2018-02-16 出发,共7天,69张照片,家庭,深度游 美食 寒假 春节,人均3500元,2553,3,1
教育熊孩子之旅～北京,https://travel.qunar.com/youji/7442227,小建0322,2019-01-10 出发,共3天,97张照片,亲子,,人均6元,2333,5,0
小脚丫走天下 之 延庆-龙湾露营&龙庆峡,https://travel.qunar.com/youji/6529846,透明的方糖,2016-08-13 出发,共2天,61张照片,亲子,自驾 短途周末 摄影 人文,人均700元,3232,5,0
首都之行,https://travel.qunar.com/youji/7463884,向上-阳光,2019-02-07 出发,共3天,72张照片,家庭,春节,,1900,5,0
一家三口5天玩北京,https://travel.qunar.com/youji/7542936,xuanlz,2019-10-18 出发,共5天,21张照片,亲子,深度游 国庆,人均2000元,1855,17,5
保利免费北京行,https://travel.qunar.com/youji/5408310,Memories_J,2014-12-12 出发,共3天,74张照片,三五好友,短途周末,,3807,7,8
2016.9.10，紫谷，那一抹紫色的绚丽,https://travel.qunar.com/youji/6740536,梁lsh,2016-09-10 出发,共1天,92张照片,家庭,,人均45元,2347,0,1
一汽-大众蔚领｜一场与秋日北京的激情邂逅,https://travel.qunar.com/youji/6918274,潘那白,2017-09-23 出发,共1天,32张照片,三五好友,自驾 骑行 赏秋,,1841,0,0
